Goleniów,goleniowski,zachodniopomorskie,"11,78",22 846,1939
Golina,koniński,wielkopolskie,"3,52",4471,1270
Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,"7,50",13 014,1735
Gołańcz,wągrowiecki,wielkopolskie,"12,64",3431,271
Gołdap,gołdapski,warmińsko-mazurskie,"17,20",13 791,802
Goniądz,moniecki,podlaskie,"4,28",1902,444
Gorlice,gorlicki,małopolskie,"23,53",28 555,1214
Gorzów Śląski,oleski,opolskie,"18,54",2544,137
Gorzów Wielkopolski,Gorzów Wielkopolski[1],lubuskie,"85,72",124 609,1454
Gostynin,gostyniński,mazowieckie,"32,40",19 205,593
Gostyń,gostyński,wielkopolskie,"11,09",20 183,1820
Gościno,kołobrzeski,zachodniopomorskie,"5,70",2527,443
Gozdnica,żagański,lubuskie,"23,88",3328,139
Góra,górowski,dolnośląskie,"13,65",12 492,915
Góra Kalwaria,piaseczyński,mazowieckie,"13,67",11 651,852
Górowo Iławeckie,bartoszycki,warmińsko-mazurskie,"3,32",4350,1310
Górzno,brodnicki,kujawsko-pomorskie,"3,43",1415,413
Grabów nad Prosną,ostrzeszowski,wielkopolskie,"2,58",1967,762
Grajewo,grajewski,podlaskie,"18,93",22 375,1182
Grodków,brzeski,opolskie,"9,88",8900,901
Grodzisk Mazowiecki,grodziski,mazowieckie,"13,19",29 763,2256
Grodzisk Wielkopolski,grodziski,wielkopolskie,"18,21",14 265,783
Grójec,grójecki,mazowieckie,"8,57",16 333,1906
Grudziądz,Grudziądz[1],kujawsko-pomorskie,"57,76",97 971,1696
Grybów,nowosądecki,małopolskie,"16,95",6175,364
Gryfice,gryficki,zachodniopomorskie,"12,40",17 016,1372
Gryfino,gryfiński,zachodniopomorskie,"9,58",21 589,2254
Gryfów Śląski,lwówecki,dolnośląskie,"6,63",6988,1054
Gubin,krośnieński,lubuskie,"20,68",17 019,823
Hajnówka,hajnowski,podlaskie,"21,29",21 834,1026
Halinów,miński,mazowieckie,"2,84",3612,1272
Hel,pucki,pomorskie,"21,72",3737,172
Hrubieszów,hrubieszowski,lubelskie,"33,03",18 731,567
Iława,iławski,warmińsko-mazurskie,"21,88",33 360,1525
Iłowa,żagański,lubuskie,"9,18",4044,441
Iłża,radomski,mazowieckie,"15,83",5111,323
Imielin,bieruńsko-lędziński,śląskie,"27,99",8542,305
Inowrocław,inowrocławski,kujawsko-pomorskie,"30,42",75 517,2482
Ińsko,stargardzki,zachodniopomorskie,"7,48",2066,276
Iwonicz-Zdrój,krośnieński,podkarpackie,"5,89",1904,323
Izbica Kujawska,włocławski,kujawsko-pomorskie,"2,24",2779,1241
Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie,"3,35",3831,1144
Janikowo,inowrocławski,kujawsko-pomorskie,"9,51",9145,962
Janowiec Wielkopolski,żniński,kujawsko-pomorskie,"3,04",4106,1351
Janów Lubelski,janowski,lubelskie,"14,80",12 145,821
Jarocin,jarociński,wielkopolskie,"14,64",26 278,1795
Jarosław,jarosławski,podkarpackie,"34,61",39 426,1139
Jasień,żarski,lubuskie,"4,79",4455,930
Jasło,jasielski,podkarpackie,"36,52",36 641,1003
Jastarnia,pucki,pomorskie,"7,80",3905,501
Jastrowie,złotowski,wielkopolskie,"72,30",8666,120
Jastrzębie-Zdrój,Jastrzębie-Zdrój[1],śląskie,"85,33",91 723,1075
Jawor,jaworski,dolnośląskie,"18,80",24 096,1282
Jaworzno,Jaworzno[1],śląskie,"152,59",94 305,618
Jaworzyna Śląska,świdnicki,dolnośląskie,"4,34",5261,1212
Jedlicze,krośnieński,podkarpackie,"10,60",5782,545
Jedlina-Zdrój,wałbrzyski,dolnośląskie,"17,45",5033,288
Jedwabne,łomżyński,podlaskie,"4,54",1738,383
Jelcz-Laskowice,oławski,dolnośląskie,"17,06",15 864,930
Jelenia Góra,Jelenia Góra[1],dolnośląskie,"109,22",82 846,759
Jeziorany,olsztyński,warmińsko-mazurskie,"3,41",3333,977
Jędrzejów,jędrzejowski,świętokrzyskie,"11,37",15 982,1406
Jordanów,suski,małopolskie,"21,03",5389,256
Józefów,biłgorajski,lubelskie,"5,00",2520,504
Józefów,otwocki,mazowieckie,"23,91",19 947,834
Jutrosin,rawicki,wielkopolskie,"1,62",1924,1188
Kalety,tarnogórski,śląskie,"76,29",8658,113
Kalisz,Kalisz[1],wielkopolskie,"69,42",104 676,1508
Kalisz Pomorski,drawski,zachodniopomorskie,"11,96",4333,362
Kalwaria Zebrzydowska,wadowicki,małopolskie,"5,50",4608,838
Kałuszyn,miński,mazowieckie,"12,30",2945,239
Kamienna Góra,kamiennogórski,dolnośląskie,"18,04",20 342,1128
Kamień Krajeński,sępoleński,kujawsko-pomorskie,"3,65",2358,646
Kamień Pomorski,kamieński,zachodniopomorskie,"10,74",9190,856
Kamieńsk,radomszczański,łódzkie,"11,99",2893,241
Kańczuga,przeworski,podkarpackie,"7,60",3242,427
Karczew,otwocki,mazowieckie,"28,12",10 177,362
Kargowa,zielonogórski,lubuskie,"4,55",3731,820
Karlino,białogardzki,zachodniopomorskie,"9,40",6005,639
Karpacz,jeleniogórski,dolnośląskie,"37,99",5007,132
Kartuzy,kartuski,pomorskie,"6,80",15 007,2207
Katowice,Katowice[1],śląskie,"164,64",307 233,1866
Kazimierz Dolny,puławski,lubelskie,"30,44",2638,87
Kazimierza Wielka,kazimierski,świętokrzyskie,"5,33",5832,1094
Kąty Wrocławskie,wrocławski,dolnośląskie,"8,61",6264,728
Kcynia,nakielski,kujawsko-pomorskie,"6,84",4775,698
Kędzierzyn-Koźle,kędzierzyńsko-kozielski,opolskie,"123,71",63 635,514
Kępice,słupski,pomorskie,"6,11",3818,625
Kępno,kępiński,wielkopolskie,"7,79",14 657,1882
Kętrzyn,kętrzyński,warmińsko-mazurskie,"10,35",28 256,2730
Kęty,oświęcimski,małopolskie,"23,05",19 151,831
Kielce,Kielce[1],świętokrzyskie,"109,65",200 938,1833
Kietrz,głubczycki,opolskie,"18,74",6195,331
Kisielice,iławski,warmińsko-mazurskie,"3,37",2189,650
Kleczew,koniński,wielkopolskie,"6,70",4243,633
Kleszczele,hajnowski,podlaskie,"46,71",1368,29
Kluczbork,kluczborski,opolskie,"12,35",24 707,2001
Kłecko,gnieźnieński,wielkopolskie,"9,62",2670,278
Kłobuck,kłobucki,śląskie,"47,46",13 281,280
Kłodawa,kolski,wielkopolskie,"4,31",6776,1572
Kłodzko,kłodzki,dolnośląskie,"24,84",28 356,1142
Knurów,gliwicki,śląskie,"33,95",39 320,1158
Knyszyn,moniecki,podlaskie,"23,68",2851,120
Kobylin,krotoszyński,wielkopolskie,"4,87",3282,674
